Object Code,Type,Label,Partition Name,Partition ID,Unit,Instance Tag
PartitionBlock1,PartitionBlock,Master,System View,,,
PartitionBlock2,PartitionBlock,Patstors Office,System View,,,
PartitionBlock5,PartitionBlock,Hallways,System View,,,
PartitionBlock9,PartitionBlock,Room 5&6,System View,,,
PartitionBlock10,PartitionBlock,Room 1-4,System View,,,
UIText258,UIText,,Master,1,,
PCTxAudio1,PCTxAudio,PCTx Mains,Master,1,1,PCTxMains
Input1,Input,Input 4 Channel,Master,1,1,Input1
AudioMeter32,AudioMeter,RMS Meter,Master,1,1,AudioMeter32
NoiseGenerator1,NoiseGenerator,Noise Generator,Master,1,1,NoiseGenerator1
UIText214,UIText,Inputs,Master,1,,
PCRxLogic1,PCRxLogic,PCRx Logic,Master,1,1,PCRxLogic1
LogicMeter2,LogicMeter,Meter ,Master,1,1,LogicMeter2
LogicMeter4,LogicMeter,Meter ,Master,1,1,LogicMeter4
PCRxLogic2,PCRxLogic,PCRx Logic,Master,1,1,PCRxLogic2
LogicMeter6,LogicMeter,Logic Meter 10 Channel,Master,1,1,LogicMeter6
PCRxLogic3,PCRxLogic,PCRx Logic,Master,1,1,PCRxLogic3
PresetButton22,PresetButton,All Hall Presets,Master,1,1,PresetButton22
LogicMeter15,LogicMeter,Logic Meter 10 Channel,Master,1,1,LogicMeter15
PresetButton23,PresetButton,Hall 101  Source Presets,Master,1,1,PresetButton23
PresetButton24,PresetButton,Hall 123  Source Presets,Master,1,1,PresetButton24
PresetButton25,PresetButton,Hall 131  Source Presets,Master,1,1,PresetButton25
PresetButton26,PresetButton,Foyer Source Presets,Master,1,1,PresetButton26
PresetButton27,PresetButton,Resource Room Presets,Master,1,1,PresetButton27
LogicMeter16,LogicMeter,Logic Meter 9 Channel,Master,1,1,LogicMeter16
LogicMeter17,LogicMeter,Logic Meter 9 Channel,Master,1,1,LogicMeter17
LogicMeter18,LogicMeter,Logic Meter 9 Channel,Master,1,1,LogicMeter18
LogicMeter19,LogicMeter,Logic Meter 9 Channel,Master,1,1,LogicMeter19
LogicMeter20,LogicMeter,Logic Meter 9 Channel,Master,1,1,LogicMeter20
UIText239,UIText,,Master,1,,
PCRxLogic4,PCRxLogic,PCRx Logic,Master,1,1,PCRxLogic4
PCRxLogic5,PCRxLogic,PCRx Logic,Master,1,1,PCRxLogic5
PCRxLogic6,PCRxLogic,PCRx Logic,Master,1,1,PCRxLogic6
PCRxLogic7,PCRxLogic,PCRx Logic,Master,1,1,PCRxLogic7
PCRxLogic8,PCRxLogic,PCRx Logic,Master,1,1,PCRxLogic8
PCRxLogic9,PCRxLogic,PCRx Logic,Master,1,1,PCRxLogic9
UIText252,UIText,Hallway Presets,Master,1,,
PresetButton29,PresetButton,Pastor's Office Presets,Master,1,1,PresetButton29
UIText240,UIText, ,Master,1,,
UIText241,UIText,Global Hallway Source Presets,Master,1,,
UIText242,UIText, ,Master,1,,
UIText243,UIText,Hallway 101 Source Presets,Master,1,,
UIText244,UIText, ,Master,1,,
UIText245,UIText,Hallway 123 Source Presets,Master,1,,
UIText246,UIText, ,Master,1,,
UIText247,UIText,Hallway 131 Source Presets,Master,1,,
UIText248,UIText, ,Master,1,,
UIText249,UIText,Foyer Source Presets,Master,1,,
UIText250,UIText, ,Master,1,,
UIText251,UIText,Resource Room Source Presets,Master,1,,
UIText254,UIText, ,Master,1,,
UIText255,UIText,Pastor's Office Source Presets,Master,1,,
